,Variable Name,description
71,PCIP15,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
72,PCIP16,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
73,PCIP19,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
74,PCIP22,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
75,PCIP23,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
76,PCIP24,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
77,PCIP25,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
78,PCIP26,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
79,PCIP27,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
80,PCIP29,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
81,PCIP30,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
82,PCIP31,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
83,PCIP38,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
84,PCIP39,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
85,PCIP40,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
86,PCIP41,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
87,PCIP42,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
88,PCIP43,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
89,PCIP44,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
90,PCIP45,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
91,PCIP46,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
92,PCIP47,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
93,PCIP48,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
94,PCIP49,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
95,PCIP50,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
96,PCIP51,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
97,PCIP52,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
98,PCIP54,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
99,CIP01CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
100,CIP01CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
101,CIP01ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
102,CIP01CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
103,CIP01BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
104,CIP03CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
105,CIP03CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
106,CIP03ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
107,CIP03CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
108,CIP03BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
109,CIP04CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
110,CIP04CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
111,CIP04ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
112,CIP04CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
113,CIP04BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
114,CIP05CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
115,CIP05CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
116,CIP05ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
117,CIP05CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
118,CIP05BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
119,CIP09CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
120,CIP09CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
121,CIP09ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
122,CIP09CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
123,CIP09BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
124,CIP10CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
125,CIP10CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
126,CIP10ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
127,CIP10CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
128,CIP10BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
129,CIP11CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
130,CIP11CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
131,CIP11ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
132,CIP11CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
133,CIP11BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
134,CIP12CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
135,CIP12CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
136,CIP12ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
137,CIP12CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
138,CIP12BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
139,CIP13CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
140,CIP13CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
141,CIP13ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
142,CIP13CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
143,CIP13BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
144,CIP14CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
145,CIP14CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
146,CIP14ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
147,CIP14CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
148,CIP14BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
149,CIP15CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
150,CIP15CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
151,CIP15ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
152,CIP15CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
153,CIP15BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
154,CIP16CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
155,CIP16CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
156,CIP16ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
157,CIP16CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
158,CIP16BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
159,CIP19CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
160,CIP19CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
161,CIP19ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
162,CIP19CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
163,CIP19BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
164,CIP22CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
165,CIP22CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
166,CIP22ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
167,CIP22CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
168,CIP22BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
169,CIP23CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
170,CIP23CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
171,CIP23ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
172,CIP23CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
173,CIP23BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
174,CIP24CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
175,CIP24CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
176,CIP24ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
177,CIP24CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
178,CIP24BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
179,CIP25CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
180,CIP25CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
181,CIP25ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
182,CIP25CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
183,CIP25BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
184,CIP26CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
185,CIP26CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
186,CIP26ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
187,CIP26CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
188,CIP26BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
189,CIP27CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
190,CIP27CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
191,CIP27ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
192,CIP27CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
193,CIP27BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
194,CIP29CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
195,CIP29CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
196,CIP29ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
197,CIP29CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
198,CIP29BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
199,CIP30CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
200,CIP30CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
201,CIP30ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
202,CIP30CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
203,CIP30BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
204,CIP31CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
205,CIP31CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
206,CIP31ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
207,CIP31CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
208,CIP31BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
209,CIP38CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
210,CIP38CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
211,CIP38ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
212,CIP38CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
213,CIP38BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
214,CIP39CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
215,CIP39CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
216,CIP39ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
217,CIP39CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
218,CIP39BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
219,CIP40CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
220,CIP40CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
221,CIP40ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
222,CIP40CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
223,CIP40BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
224,CIP41CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
225,CIP41CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
226,CIP41ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
227,CIP41CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
228,CIP41BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
229,CIP42CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
230,CIP42CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
231,CIP42ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
232,CIP42CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
233,CIP42BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
234,CIP43CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
235,CIP43CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
236,CIP43ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
237,CIP43CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
238,CIP43BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
239,CIP44CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
240,CIP44CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
241,CIP44ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
242,CIP44CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
243,CIP44BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
244,CIP45CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
245,CIP45CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
246,CIP45ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
247,CIP45CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
248,CIP45BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
249,CIP46CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
250,CIP46CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
251,CIP46ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
252,CIP46CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
253,CIP46BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
254,CIP47CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
255,CIP47CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
256,CIP47ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
257,CIP47CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
258,CIP47BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
259,CIP48CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
260,CIP48CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
261,CIP48ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
262,CIP48CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
263,CIP48BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
264,CIP49CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
265,CIP49CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
266,CIP49ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
267,CIP49CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
268,CIP49BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
269,CIP50CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
270,CIP50CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
271,CIP50ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
272,CIP50CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
273,CIP50BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
274,CIP51CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
275,CIP51CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
276,CIP51ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
277,CIP51CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
278,CIP51BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
279,CIP52CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
280,CIP52CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
281,CIP52ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
282,CIP52CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
283,CIP52BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
284,CIP54CERT1,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
285,CIP54CERT2,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
286,CIP54ASSOC,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
287,CIP54CERT4,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
288,CIP54BACHL,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
289,DISTANCEONLY,"AcadYr 2018-19, reported in IPEDS DCY2018-19"
290,UGDS,"Fall 2018, reported in IPEDS DCY2018-19"
291,UG,
292,UGDS_WHITE,"Fall 2018, reported in IPEDS DCY2018-19"
293,UGDS_BLACK,"Fall 2018, reported in IPEDS DCY2018-19"
294,UGDS_HISP,"Fall 2018, reported in IPEDS DCY2018-19"
295,UGDS_ASIAN,"Fall 2018, reported in IPEDS DCY2018-19"
296,UGDS_AIAN,"Fall 2018, reported in IPEDS DCY2018-19"
297,UGDS_NHPI,"Fall 2018, reported in IPEDS DCY2018-19"
298,UGDS_2MOR,"Fall 2018, reported in IPEDS DCY2018-19"
299,UGDS_NRA,"Fall 2018, reported in IPEDS DCY2018-19"
300,UGDS_UNKN,"Fall 2018, reported in IPEDS DCY2018-19"
301,UGDS_WHITENH,
302,UGDS_BLACKNH,
303,UGDS_API,
304,UGDS_AIANOLD,
305,UGDS_HISPOLD,
306,UG_NRA,
307,UG_UNKN,
308,UG_WHITENH,
309,UG_BLACKNH,
310,UG_API,
311,UG_AIANOLD,
312,UG_HISPOLD,
313,PPTUG_EF,"Fall 2018, reported in IPEDS DCY2018-19"
314,PPTUG_EF2,
315,CURROPER,
316,NPT4_PUB,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
317,NPT4_PRIV,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
318,NPT4_PROG,
319,NPT4_OTHER,
320,NPT41_PUB,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
321,NPT42_PUB,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
322,NPT43_PUB,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
323,NPT44_PUB,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
324,NPT45_PUB,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
325,NPT41_PRIV,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
326,NPT42_PRIV,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
327,NPT43_PRIV,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
328,NPT44_PRIV,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
329,NPT45_PRIV,"AcadYr 2017-18, reported in IPEDS DCY2018-19"
330,NPT41_PROG,
331,NPT42_PROG,
332,NPT43_PROG,
333,NPT44_PROG,
